,label,text
627,Non-Alcohol,"The present invention relates to a nanogel composition comprising at least one water- soluble active ingredient, one or more plant proteins, and one or more soy soluble polysaccharides. These compositions can be used for the enrichment, and/or fortification of food, beverages, animal feed and/or cosmetics and allow stabilization of the active ingredient. The present invention also refers to the process for the preparation of such nanogel compositions. The present invention furthermore refers to a process for the manufacture of a beverage by mixing the compositions with ingredients of beverages. The present invention also refers to beverages obtainable by this process."
628,Alcohol,"An insulated beer fridge stores and ages corked craft beer in a vertical orientation for a period of several months to years without degrading the cork stopper used to seal the bottle. Cork shrinkage is prevented by controlling the humidity within the beer fridge container within a range of 50% to 70% relative humidity. An optimal beer aging temperature in the range of 10Â° C. (50Â° F.) to 15.6Â° C. (60Â° F.) is maintained by a refrigeration system. Relative humidity within the beer fridge containment is actively maintained by a humidity replenishment mechanism. A controller calculates the amount of water needed to bring the relative humidity to 50% to 70% at the beer fridge temperature. Beers are stored in the beer fridge on trays, which can be pulled for removal of aged beer and addition of new corked craft beer."
629,Non Autonomous,"A kind of method for controlling recyclability in the self-propelled vehicle with hybrid drive or electric driver, wherein be ready to use in the base value of the recovery moment of recovery scheduled and/or can regulate by means of at least one first executive component (7), wherein, apply the second executive component (11) to regulate and to depart from described base value, for the intermediate value of described recovery moment, wherein after regulating intermediate value provisionally by operator, particularly at least for next coast period, apply described intermediate value as recovery moment, described base value is returned to subsequently when meeting reset condition."
630,Autonomous,"An automated driving system and methods are disclosed. The automated driving system includes a perception system disposed on an autonomous vehicle. The automated driving system can detect, using the perception system, a neighboring vehicle proximate to an intersection, identify two or more potential paths through the intersection for the neighboring vehicle, determine a path priority for each of the two or more potential paths, and determine a path priority for a planned path through the intersection for the autonomous vehicle. If the path priority of at least one of the potential paths is higher than the path priority of the planned path, the automated driving system can send a command to one or more vehicle systems configured to allow the neighboring vehicle to proceed through the intersection before the autonomous vehicle."
631,Non-Alcohol,An edible composition of matter having an apparent viscosity of from about 150 cP to about 2000 cP at about 30 s-1; a yield stress of from 0 Pa to about 20 Pa at 1 s-1; and a flow index of from about 0.2 to about 0.6. The composition may include an imaging agent. The compositions are useful for providing sustenance to dysphagic subjects and for evaluating dysphagia.
632,Alcohol,"An energy-saving method and apparatus for boiling wort in a beer brewing process is easily implemented and managed. The wort (W) to be boiled is supplied to a wort kettle (2) in a batchwise and discontinuous manner, and each batch (C) of wort (W) supplied to the wort kettle (2) is boiled during a boiling phase, whereby the wort vapor (D) escaping during the boiling phase is supplied to a vertical column (10) connected on the steam side to the wort kettle (2), and is rectified in the vertical column."
633,Non Autonomous,"When processing engine starting and down-shift and speed change under steam simultaneously, the shortening of required time to down-shift and speed change terminates from down-shift and speed change can not only be realized, easily can also carry out preventing the down-shift and speed change control pulling and impact.The control setup of FR motor vehicle driven by mixed power possess driving engine (Eng), dynamotor (MG), first clutch (CL1), automatic speed variator (AT), second clutch (CL2) and start and speed-changing same time processing unit (Fig. 6).When under steam to utilizing dynamotor (MG) to make engine speed increase in order to start the engine, when the down-shift and speed change of engine speed rising control and above-mentioned automatic speed variator (AT) controls to process simultaneously, processing unit when this startup and speed-changing same, rise in control at the engine speed of dynamotor (MG), use the motor torsional moment produced by dynamotor (MG) to make the input speed under down-shift and speed change controls rise to target input speed."
634,Autonomous,"A method is provided for intelligent scaling of torque overlay intervention for a semi-autonomous steering system in a road vehicle having a semi-autonomous steering function arranged to selectively apply a steering wheel overlay torque. If decided that a driver is significantly overriding an intervention, the overlay torque is scaled by a scaling factor being a function of applied steering wheel torque. If decided that the driver has been significantly overriding the intervention for more than a pre-determined first time period, the scaling factor is set to its lowest possible value for a specific driving situation. If decided that the driver has been significantly overriding the intervention for more than a pre-determined second time period, where the pre-determined second time period is equal to or exceeds the pre-determined first time period, the scaling factor is faded-out."
635,Non-Alcohol,"The present invention relates to n aroma milk composition and a method of producing it. Further, the present invention relates to use of the aroma milk composition in the manufacture of a dairy product. Finally, the present invention relates to a new bacterial strain of Lactococcus lactis ssp.lactis."
636,Alcohol,A plastic beer keg includes an outer container and a liner having a neck portion and a body portion. A removable lid is secured over an opening of the container to enclose the liner. A locking ring secures the neck portion to the lid. The neck optionally includes a neck ring which interlocks with the opening through the lid to prevent relative rotation therebetween. The locking ring optionally includes ratcheting teeth engaging ratchet teeth on the lid to prevent inadvertent loosening of the locking ring. The liner may be suspended from the lid by the neck when empty.
637,Non Autonomous,"The invention provides a kind of Automobile rearview mirror intelligent control device, belong to automobile rearview mirror technical field.It solve the complicated and problem that traveling comfort is inadequate of existing device master mode.This Automobile rearview mirror intelligent control device comprises car speed sensor, steering wheel angle sensor, for detecting the astern signal detection module of vehicle astern signal, for adjust back mirror inclination angle driver train and for according to car speed sensor, the signal of steering wheel angle sensor and the conveying of astern signal detection module judges vehicle current operating situation and exports corresponding control signal to the control module of driver train according to judged result, car speed sensor, steering wheel angle sensor is connected with the input end of control module respectively with astern signal detection module, driver train is connected with the mouth of control module.This control setup can at the inclination angle of Vehicular turn with automating adjustment of rearview mirrors during reversing, and to eliminate visual field blind spot, safety is high, and it is convenient to control."
638,Autonomous,"Methods and systems for determining instructions for pulling over an autonomous vehicle are described. An example method may involve identifying a region of a road ahead of the autonomous vehicle based on lane boundaries of the road, one or more road boundaries indicating an edge of the road, and a size of the autonomous vehicle. The method may also involve determining a braking profile for reducing the speed of the autonomous vehicle based on the region and a speed of the autonomous vehicle. The method may also involve determining, based on the braking profile, a trajectory such that the autonomous vehicle will travel within the region while reducing the speed of the autonomous vehicle. The method may further involve determining instructions for pulling over and stopping the autonomous vehicle in the region in accordance with the determined trajectory and storing the instructions in a memory accessible by a computing device."
639,Non-Alcohol,"The invention relates to an electric household yogurt-maker, comprising an enclosure (1) accommodating at least one container (2) provided to receive a preparation of milk and ferments, a heating means (4), as well as a drive means (5) including a sensor (30) for measuring the temperature, a microprocessor (31) comprising at least one program for producing a fermented preparation, and a control device (32) comprising at least one control configuration for producing a type of fermented preparation. According to the invention, the microprocessor (31) comprises at least one other program for producing a fermented preparation and the control device (32) in the control configuration implements either the program for producing a fermented preparation, or one of the other programs for producing a fermented preparation on the basis of a temperature measured by the sensor (30). The invention also relates to a method for operating the aforementioned electric household yogurt-maker."
640,Alcohol,The present invention relates to methods of degrading or converting biomass material enriched with hemicellulosic material into fermentable sugars.
641,Non Autonomous,"Elec. vehicle (100) comprising: storage device electric (B); Electrical motor (50), described electrical motor uses the electric power exported from described storage device electric (B) and the propulsive effort generated for making described vehicle travel; And controller (60), it controls the output of described storage device electric (B).Described controller (60) comprising: restriction control unit, and its load condition based on described storage equipment (B) limits permission horsepower output, and the instruction of this permission horsepower output allows the electric power exported from described storage device electric (B); And output control unit, when described permission horsepower output is restored from described permission horsepower output by the restriction state that described restriction control unit limits, described permission horsepower output is more easily limited, then described output control unit more reduces the increment rate of the described electric power exported from described storage device electric (B)."
642,Autonomous,"A vehicle operator is identified. Based at least in part on the operator's identity, one or more parameters are determined specifying a mode for autonomously operating the vehicle. The vehicle is autonomously operated at least in part according to the one or more parameters."
643,Alcohol,"The invention provides a sparkling alcoholic beverage produced using, as a part of ingredients thereof, at least one selected from the group consisting of etherified starch, etherified cross-linked starch and enzymatic hydrolysates thereof; and a method for producing the sparkling alcoholic beverage, wherein at least one selected from the group consisting of etherified starch, etherified cross-linked starch and enzymatic hydrolysates thereof is added in any step of the production process.The sparkling alcoholic beverage of the invention has good body and prolonged froth duration and contains water-soluble dietary fiber."
644,Non Autonomous,"The invention provides the manufacture method of vehicle-used interior decoration material and vehicle-used interior decoration material.Containing box lid (11) according to the present invention possesses: table side base material (51) of the flat condition be made up of thermoplastic resin sheet, be pasted on the skin material (53) of the table side of this table side base material (51), the rear side of described table side base material (51) is heat fused to via the first nonwoven fabrics (55), there is jog (13) and the dorsal part base material (57) be made up of thermoplastic resin sheet, be pasted on second nonwoven fabrics (59) of the rear side of this dorsal part base material (57), and be contained and be held in the reinforcing material (41) of the long ruler-like between described table side base material (51) and dorsal part base material (57)."
645,Autonomous,"This application describes an automated driving system and methods. The automated driving system includes a perception system disposed on an autonomous vehicle. The automated driving system can detect, using the perception system, information for an environment proximate to the autonomous vehicle. The information for the environment includes current behavior of an object of interest and traffic density information. The automated driving system can also determine a classifier for the environment based on a prediction of future behavior of the object of interest. Based on the classifier, the automated driving system can identify a transition between vehicle states, the vehicle states being associated with a planned action for the autonomous vehicle. The automated driving system can also send a command to one or more vehicle systems to control the autonomous vehicle to execute the planned action according to the transition."
646,Non-Alcohol,"The present invention relates to a new type of beverage which provides foam with improved quality. More specifically, the present invention relates to an effervescent beverage that comprises oxidation products of hops and provides foam with improved quality."
647,Alcohol,"A cantilever-style wine server for mounting to a table has a unitary frame composed of shaped metal bars, such as shaped rods with circular cross-sections. The frame includes a holder that serves as a receptacle for a wine bucket, insulator, and/or a bottle, and a mount/handle that serves as both a cantilever mount to the side of a table and as a handle to transport the server. The holder and mount/handle are unified as a single frame, such as by multiple welds. The frame has a flat base, enabling the server (even when fully loaded) to be set down on a flat surface. A removable cover may center a wine bottle in the holder."
648,Non Autonomous,"This method is used for the hybrid vehicle (T) of motor (4) that control is equipped with combustion engine (2) and is connected to energy storage system (8).Each in described combustion engine (2) and described motor is suitable for power drive system (6) transmitting torque to vehicle (T).This method at least comprises step: a) during the task process of vehicle (T), estimates the temperature of the energy storage system (8) when the next task of vehicle (T) starts; And if b) temperature estimated in step a) lower than threshold value, then, before the current task of vehicle (T) terminates, recharges energy storage system (8) based on the temperature estimated in step a).In step c), if energy storage system (8) is re-charged electricity in step b), then when the next operating cycle of vehicle (T) starts, to the electric discharge of energy storage system (8) degree of depth ground.By this method, when again leaving when next task starts, battery promptly reaches the temperature of expectation."
649,Autonomous,"A steering system for an autonomous vehicle includes a steering mechanism having a pinion gear and a rack, the steering mechanism being configured to translate rotation of the pinion gear into movement of the rack which is configured to affect the position of a steer tire of the autonomous vehicle, thereby affecting the lateral position of the autonomous vehicle; a steering wheel which provides a mechanical input to the pinion gear from an operator of the autonomous vehicle; a steering actuator which rotates to apply torque to the steering mechanism, thereby inducing movement of the rack which affects the position of the steer tire of the autonomous vehicle; and a variable coupling member operatively between the steering actuator and the steering mechanism which is configured to vary the torque that can be transmitted from the steering actuator to the steering mechanism."
650,Non-Alcohol,"The invention is related to a beverage having an improved flavor. More precisely, it is related to a beverage having an improved flavor, comprising an aqueous medium extract of a hop having been subjected to an oxidation treatment."
651,Alcohol,"A process for the separation of lignins and sugars from an extracted liquor, including, in the form of dry matter (DM), lignins and sugars, includes: a) concentrating the extracted liquor, in order to obtain a liquor having dry matter in a proportion of between 60 and 70%; b) mixing the concentrated liquor with water in equal parts by weight; c) stirring the mixture in order to disperse the lignins and to obtain a stable suspending of the lignins; d) filtering the solution,wherein the mixing is carried out by introducing the concentrated liquor into the water; and the temperature of the solution, during the suspending, is between 50Â° C. and 60Â° C."
652,Non Autonomous,"A kind of information of vehicles sending set, it is for pointing out the identification for certain object.The identification of the position that the prompting of this information of vehicles sending set is different from the position of certain object described."
653,Autonomous,"A charging system for autonomous transport vehicles including at least one charging contact disposed on each pick floor level of a storage and retrieval system, each of the at least one charging contact being located at a transfer station, at least one power supply configured to supply power to the at least one charging contact, and a controller in communication with the transfer station and being configured to communicate information relating to a transfer of items between the transfer station and a predetermined one of the autonomous transport vehicles and to apply power from the power supply to the at least one charging contact for charging the predetermined autonomous transport vehicle corresponding to the transfer and located at the transfer station, wherein the controller is configured to supply power to the charging contacts simultaneously with the predetermined autonomous transport vehicle exchanging items related to the transfer at the transfer station."
654,Non-Alcohol,"The invention relates to a method of producing a low potassium fruit juice which provides vasorelaxation, NADPH-oxidase mediation and repeated infection reduction characteristics and more particularly a method of producing a fruit juice which is suitable for consumption by patients suffering from progressive kidney failure including end stage renal failure who are placed on a restricted potassium diet."
655,Alcohol,A method for improving the malolactic fermentation in wines comprising conducting the malolactic fermentation using lactic acid bacteria with organic alkaline or neutral dispersing agent.
656,Non Autonomous,"The invention discloses a kind of electronlmobil continual mileage evaluation method, comprise the following steps: 1.1, obtain the path of planning and the microcosmic traffic state in this path future according to the departure place of setting, destination and time of departure; 1.2, based on obtain by second speed, acceleration calculation generalized variable; 1.3, choose the electric car electric energy rate of consumption model established according to different driving cycles, in conjunction with the generalized variable calculated, calculate the power consumption by second; 1.4, obtain the dump energy of present battery, calculate the dump energy of battery, in conjunction with the power consumption of vehicle, obtain remaining mileage through cycle calculations.Contemplated by the invention the impact of real traffic behavior on electronlmobil energy consumption, overcome the accurate not shortcoming of existing method estimated result."
657,Autonomous,"Aspects of the present disclosure relate to protecting the privacy of a user of a dispatching service for driverless vehicles. For example, a request for a vehicle identifying user information is received. A client computing device may be identified based on the user information. In response to the request, a driverless vehicle may be dispatched to the location of the client device. Signaling information may be generated based on a set of rules including a first rule that the signaling information does not identify, indirectly or directly, the user as well as a second rule that the signaling information does not identify, indirectly or directly, the user information. The location of the client computing device and the signaling information may be sent to the driverless vehicle for display. In addition, the signaling information may also be sent to the client computing device for display."
658,Non-Alcohol,"The present invention relates to a composition comprising the probiotic strain Lactobacillus johnsonii CNCM I-1225 in combination with a polyphenol for use in the treatment or prevention of a cognitive and/or neurodegenerative disorder, in particular Alzheimer's disease."
659,Alcohol,The method is for controlling a sodium and sulphur balance of a pulp mill while separating lignin from black liquor. Lignin is precipitated by using an acid followed by filtration. The lignin filter cake thus obtained is re-suspended in acidic liquid and dewatered to form a second cake. The filtrate obtained after dewatering of the second cake is returned for washing and suspension of the first cake. Sodium sulphate-rich ESP (electrostatic precipitator) dust produced in the recovery boiler is used in the washing of the precipitated lignin cake.
660,Non Autonomous,"A power-supply system for vehicle, possess electrical storage device (10), for by the multiple charge paths of electric power from external charging to electrical storage device (43,53), to be respectively arranged on multiple charge path and for the conversion of the supply and cut-out of carrying out electric power multiple relays (51-1,51-2) and select the charging control section (46) that allows from which charge path multiple charge path to charge to electrical storage device according to the deposition state of multiple relay."
661,Autonomous,"Computer devices, systems, and methods for an autonomous passenger vehicle are described. An unexpected driving environment can be identified, such as by using one or more processors. Information based on the unexpected driving environment received from one or more sensors disposed on the vehicle can be sent to a remote operator using a remote server. A command sent by the remote operator relating to one or more vehicle systems can be received. The command can be sent to the one or more vehicle systems for execution."
662,Non-Alcohol,"A blender for home or commercial use that is rugged enough to blend frozen beverages, simple to use and safe. The blender includes an upper housing with a front housing door that covers the moving blending machinery. The blender also includes a cupholder receiving area which allows the user to safely insert a frozen food or beverage cup inside a cupholder for blending. After the start button is pressed, the cup and cupholder will be lifted together for blending in a balanced, linear motion by an elevator assembly. Dual lead screws or a dual belt drive are preferably used in the elevator assembly to achieve this balanced, linear motion. As the cupholder is lifted upward, a cover will be pressed over the top opening of the inserted cup to prevent spillage during blending. The elevator assembly continues to lift the cupholder upward until the rotating cutter blades of a spindle assembly cut through successive layers of the frozen food or beverage. To facilitate cleaning, the spindle assembly is preferably removable from the blender through use of a quick release coupling mechanism."
663,Alcohol,"A cosmeceutical composition comprising phenolic compounds, fruit acids and sugars, extracted from the vegetation liquor of the palm oil milling process has been suggested. This composition is rich in antioxidants, and significantly improves skin health, including preventing aging of skin."
664,Non Autonomous,"The present invention relates to a kind of automobile wood-plastic material structural part, the mating shapes of the shape of this component and the baggage container of automobile, for the hollow form structure that upper and lower two-layer Wood-plastic material is formed, the surface of overstory moulding material is laid with surperficial carpet, and the surface of understorey moulding material is laid with nonwoven fabrics.Compared with prior art, one aspect of the present invention can ensure same intensity, on the other hand, owing to adopting double layer hollow structure, therefore, it is possible to save material, and reduces the weight of part."
665,Autonomous,"Sensor information is collected from human driven vehicles which are driven in a given region. From the sensor information, a road condition is detected on a road segment, where the road condition has a sufficiently high likelihood of impairing autonomous vehicles in safely navigating through the one or more road segments. Information about the one or more road segments is communicated to the one or more autonomous vehicles."
666,Non-Alcohol,The present invention relates to a fermented milk product such as a low-fat fermented milk product comprising an unsaturated emulsifier.
667,Alcohol,"The present invention provides a polysaccharide rich composition comprising beta-glucan, chitin and chitosan, extracted from the cell wall of Saccharomyces cerevisiae from the by-product biomass resulting from a brewing process, the process for obtaining it and the uses thereof. The composition exerts, among other biofunctionalities, a selective fat binding effect so it is useful in the prevention and/or treatment of a disorder such as overweight, obesity, hypercholesterolemia, hypertriglyceridemia, blood hypertension and cardiovascular disorders. It can be formulated as edible, pharmaceutical or a veterinary product."
668,Non Autonomous,"The invention provides a kind of device for using together with vehicle grille, it can comprise framework, shield and driver train.Shield can be connected to framework and can between the first position and the second position can pivotable relative to framework.Shield can comprise pivot axis and engagement member.Shield can primary importance limit air-flow by vehicle grille and the second place allow air-flow pass through vehicle grille.Driver train can drive shield between the first position and the second position.Driver train can comprise the axle drive shaft and engages drive shaft that rotate relative to framework and the drive member of moving relative to frame linear.Drive member can comprise the arcuate slots engaging this engagement member slidably."
669,Autonomous,"A miniature autonomous vehicle for operation on the public roads is disclosed. The small size allows efficiency for small payloads, but produces a danger of being overlooked by other vehicles. The size of the vehicle is less than driver operated vehicles and may be restricted to less than 200 pounds. Sensors determine the vehicles speed and the presence of environmental vehicles and use a processor to calculate the need for additional visibility. A visibility structure and support structure with lights or markers is controlled by the processor. The markers are controlled in their operation or position by the processor on the basis of the sensor data. Extending or raising and retracting or lowering the structure affects the air resistance and stability of the vehicle. The structure can be raised when the vehicle stops or is in traffic and lowered at road speeds in light or absent traffic."
670,Alcohol,"A method for preserving the aroma of coffee in chocolate products, comprising the steps of roasting and grounding the coffee beans, blending cocoa butter with the coffee beans and milling the coffee beans under inert atmosphere using a mill mesh between 16 and 30 microns resulting in a powdered product, homogenizing the resulting suspension of cocoa butter with the powdered product. Then lowering of the temperature of the resulting composite mass to a temperature between 28 and 29 degrees Celsius and holding it for a period of time not less than 5 minutes and no more than 10 minutes, molding the composite mass to predetermined shapes, and then lowering temperature, resulting in a solid product."
671,Non Autonomous,"Be provided for the method and system that the locomotive had by first instance (or other guideway vehicles) is controlled when being used by second instance and operating.This locomotive comprises the operation control system with first mode and the second different operation modes, and this first mode comprises the setting to first instance configuration, and this second pattern comprises the setting to the second different entities configuration.The method is included in when locomotive is operated by first instance and enables first mode and the second pattern of disabling operation control system, and enables the second pattern when locomotive is operated by second instance and the first mode of disabling operation control system."
672,Autonomous,"Disclosed are a method, device and system for navigation of an autonomous supply chain node vehicle in a storage center using virtual image-code tape. In one aspect, a layout diagram with a set of shelves is analyzed. A trajectory for movement of the autonomous supply chain node vehicle avoiding the shelves is determined. A training set of discrete overlapping images of peripheral area along the trajectory is captured with an imaging device on the autonomous supply chain node vehicle in a learning mode. A virtual image-code tape capturing a continuous area of storage center with globally unique identifiers (GUIDs) associated with the peripheral area is generated. The GUIDs include spatial information and identifiable image features from the training set capturing floor marks. An operating set of discrete overlapping images is captured in a normal mode and compared with GUIDs of the virtual image-code tape to determine a current location."
673,Non-Alcohol,"The present invention relates to the field of diagnostic methods. Specifically, the present invention contemplates a method for diagnosing a liver disease in a subject and a method of differentiating between NASH and NAFLD. The invention also relates to tools for carrying out the aforementioned methods, such as diagnostic devices."
674,Alcohol,"In an example, a wine storage and dispensing device is provided. The wine storage and dispensing device may include a wine storage reservoir having a first opening and a second opening that is different than the first opening, the second opening located above the first opening on the wine storage reservoir. The wine storage and dispensing device may include a dispensing device coupled to the first opening, and an air removal system coupled to the second opening of the storage reservoir."
675,Non Autonomous,"In circuit module (14), support unit (24) have can mounted package (16) element installed surface and the circuit installed surface of the starting controlling circuit (22) lighted controlling semiconductor light-emitting elements can be installed.Starting controlling circuit (22) is installed in circuit installed surface.Circuit installed surface is formed orthogonal relative to element installed surface or tilts.Thus, be formed on conplane circuit module with circuit installed surface and element installed surface and compare, the length of the length direction of circuit module can be shortened."
676,Autonomous,Method and vessel for performing marine acoustic survey of a subsurface. The vessel includes a launching module configured to deploy an autonomous underwater vehicle (AUV) underwater; a recovery module configured to recover the AUV; a homing device mounted on the recovery module and configured to guide the AUV to the recovery module; and a management module connecting the launching module to the recovery module and configured to transport the AUV.
677,Non-Alcohol,The present invention concerns apparatus for on-demand preparation of carbonated beverages. The invention further concerns processes for preparing and dispensing carbonated beverages upon user-demand.
678,Alcohol,"A wine bottle wrap for promoting the contents of the bottle, the brand, or the entity that produced or is presenting the bottle for sale. The wine bottle wrap is generally made of paper, sized and shaped to be easily wrapped around a bottle, such as a wine bottle. The paper will include printed words and drawings or other images that can both identify the contents of the bottle and provide other marketing material. In a preferred embodiment, at least some of the bottle is visible in a gap in the wrap, preferably at the bottom of the bottle."
679,Non Autonomous,"The object of this invention is to provide a kind of steering swivel system of vehicle of direct motor drive; it has the steering operation be equal to the steering operation of the vehicle only installing traditional combustion engine, even and if also have at the fail safe control period that execution steering effort is assisted the steering operation be equal to intrinsic steering operation.In order to realize this object, the vehicle of direct motor drive comprises: as the driving motor of the propulsion source of the vehicle of direct motor drive, detect the motor speed sensor of the speed of driving motor, the steering swivel system of steering angle is provided to front-wheel according to the steering angle of bearing circle, detect the vehicle speed sensor of the speed of the vehicle of direct motor drive and export the power steering controller of auxiliary quantity based at least one in the output signal of motor speed sensor and vehicle speed sensor according to the steering operation of occupant, in the steering system, auxiliary quantity is diminished along with the speed of the vehicle of direct motor drive or the speed increase of driving motor."
680,Autonomous,"A computer-implemented method for the automated driving of a vehicle. The method may include coordinating a planned vehicle path using a path planner application. The path planner application may receive information based on inputs to sensors disposed on the vehicle. The method may include sending a command to one or more vehicle systems to control the vehicle to follow the planned vehicle path. While the vehicle follows the planned vehicle path, the method may include receiving an indication that the path planner application is not meeting a threshold performance level. After receiving the indication that the path planner application is not meeting the threshold performance level, a command is sent to one or more vehicle systems to control the vehicle to follow a temporary and irregular full vehicle movement to alert a vehicle driver. The temporary and irregular full vehicle movement may be a full vehicle side-to-side wobbling movement."
681,Alcohol,"Racks are disclosed for storing a plurality of wine bottles, each bottle having a bottom portion and a neck portion. Each rack comprises a housing having two opposing side panels connected to a back panel, at least one of the side panels having a plurality of holes or notches. One or more structures are provided in the housing to receive the bottom portions of the wine bottles, such that the bottles are stored at angles with the neck of each wine bottle extending outwardly through a respective one of the holes or notches. The side panels may curve into an upper point to form a boat-shaped housing. The rack may include a plurality of V-shaped structures or a zigzag structure mounted on the back panel to receive the bottom portions of the wine bottles. Mirror-image and staggered bottle storage embodiments are described."
682,Non Autonomous,"The invention provides the automatic opening control system of a kind of vehicle trunk, vehicle and method, wherein system comprises: initiatively enter system, CAN network system, receiving wire, inductive probe, and boot control system; The described system that initiatively enters carries out judgement process to the information that described CAN network system, receiving wire, inductive probe pass over, and then sends instruction to described boot control system, controls the unlatching of boot.The solution of the present invention, can by differentiating that the foot action of operator controls the unlatching of vehicle trunk, and convenient operation person is to placing articles in boot."
683,Autonomous,"In an arrangement of an area wire for an unmanned autonomous operating vehicle having an electric motor supplied with power from a battery for operating an operating machine, and magnetic sensors for detecting intensity of a magnetic field of the area wire and controlled to run about in an operating area defined by the area wire to perform an operation using the operating machine and to return to a charging device installed on the area wire so as to charge the battery, there are provided with a charging device detecting area set to be used for detecting a position of the charging device, and a turn-back portion formed by bending the area wire at an appropriate position toward the charging device detecting area and again bending the area wire to return in a same direction with a predetermined space, whereby the operating area is divided into a plurality of zones."
684,Alcohol,"A volumetric displacement preservation system for preserving a volume of flowable substance in a vessel. A fluid exchange structure has a stopper, a head portion, and a fluid exchange valve with a first condition where fluid inlet and exhaust pathways in the fluid exchange structure are simultaneously closed and a second condition where the fluid inlet and exhaust pathways are simultaneously opened by conduit joining portions in the fluid exchange valve. A chamber retains a volume of preservative gas and is connected to the fluid inlet pathway externally to the vessel. The preservative gas can be supplied from the chamber into the vessel through the fluid inlet pathway as liquid is exhausted through the fluid exhaust pathway. The chamber can be replenished from preservative gas displaced from the vessel in a reverse volumetric displacement process or from preservative gas supplied by a preservative gas production canister."
685,Non Autonomous,"The present invention relates to a kind of vehicle headlamp apparatus, it can not make chaufeur have the fidgets when carrying out the brightness adjustment control of the subregion movement making optionally to become irradiating state or non-irradiated state in light distribution patterns.By being carried out the irradiation of light by multiple light sources of the head lamp be configured in vehicle and the light distribution patterns formed, have respectively by being more than or equal to multiple region PA1 to PA5 that two light sources carry out irradiating in above-mentioned multiple light source.Irradiation area is controlled at least one mode corresponding with the object of movement in above-mentioned light distribution patterns in above-mentioned multiple region, and, make corresponding with this irradiation area be above-mentionedly more than or equal to two light sources there is time difference ground lighting."
686,Autonomous,"Apparatus and method for employing autonomous air vehicles to perform high risk observation, interaction, and interrogation with individuals. Invention comprises an autonomously controlled air vehicle with mounting and transporting means being attachable to automobiles and other first responder vehicle types. Mounting and transporting means serves also as a base station for commanding autonomous air vehicle and relaying communications to and from autonomous air vehicle to and from remote data base sources. Autonomously controlled air vehicle is equipped with a variety of sensors which air in observation and detection of suspects, their vehicles and possessions therein, and any documentation produced during the interrogation."
687,Alcohol,"The method is for separation of lignin from original black liquor (BLIN) having the following phases in sequence; a first precipitation phase (PR1) for precipitation of lignin by a first acidification of the original black liquor by adding a first acid or mixture of acids (G1a); followed by a second precipitation phase (PR2) for precipitation of lignin by a further acidification of the original black liquor by adding a second acid or mixture of acids (G1b). The first phase is implemented to lower the pH while avoiding any larger amount of precipitation, i.e. less than 2-5%, while the second phase is implemented in order to obtain the larger part of the precipitation. In total is 40-70% of the total lignin content of the original black liquor precipitated while the residual black liquor after precipitation is still strongly alkaline."
688,Non Autonomous,"The present invention relates to a kind of charging system for motor vehicle, comprise at least one charging port had for the interface with at least one motor vehicle Power Exchange, at least one power converter, for the power transfer of the power source from such as power network is become appropriate format to described Vehicular charging, wherein, described power converter is in the position away from charging port, such as room and/or separately building separately."
689,Autonomous,"A method for autonomously driving a motor vehicle in a car wash to enhance comfort and safety includes detecting a passageway of the car wash and determine with vehicle sensors the vehicle position and the vehicle orientation of the vehicle relative to the passageway. The vehicle is subsequently automatically driven into the car wash based on the vehicle position and the vehicle orientation, and automatically stopped in a washing position. After washing is complete, a completion signal signaling completion of a working step of the car wash is received or detected by the motor vehicle. Finally, the motor vehicle is automatically driven out of the car wash in response to the completion signal."
690,Alcohol,"Shown herein are compositions of, and methods of use for, molecularly imprinted polymers useful for extracting and/or detecting target molecule compounds of wine."
691,Non Autonomous,"The present invention relates to the method for the charge level of the additional closed-center system of monitoring ultralight hybrid car.The method is included in the step of the state (200) detecting described automobile in multiple possible state, and first state is called fast running state, has exceeded predefined speed threshold value V at car speed seuilin time, is detected, second state detects when vehicle stationary, the voltage being added in closed-center system UCAP port adjusts (201,202) according to the state detected, so that guaranteeing to reduce its voltage as much as possible under described closed-center system ensures the prerequisite of its service function."
692,Autonomous,"A vehicle includes at least one autonomous driving sensor configured to monitor at least one condition while operating in an autonomous mode. The vehicle further includes a processing device configured to identify at least one occupant, select a profile associated with the occupant, and autonomously operate at least one subsystem according to the selected profile and the at least condition monitored by the at least one autonomous driving sensor."
693,Alcohol,"A wine decanter including a vessel having a bottom wall and a circumferential sidewall with a top rim including a pouring lip, a bottom wall and a circumferential sidewall surrounding an inner chamber, a sealing top fitting within the top rim of the vessel, the sealing top having at least one circumferential sealing ring, the inner chamber having a diameter which is approximately the same diameter of a standard 750 ml bottle of wine, the inner chamber having a bottom portion which retains an amount of wine. A floating sealing disc with a diameter slightly smaller than the diameter of the inner chamber of the sel floats on top of the wine in the inner chamber, thereby preventing oxygen from coming into contact with a top portion of the wine."
